2016-09-08|0|balance|9652.99
2016-09-12|2|david cash|-60
2016-09-15|0|ss|2482.20
2016-09-15|2|joe and charlotte|-100
2016-09-15|4|charlotte dixon|-300
2016-09-16|2|david cash|-60
2016-09-16|2|gasoline|-60
2016-09-23|4|xfinity|-105.45
2016-09-28|4|citibank netflix,rhapsody, hp ink|-23.18
2016-10-01|4|david electric|-100
2016-10-01|4|david rent|-315
2016-10-01|4|youngs|-215
2016-10-03|4|david ssdi|744.00
2016-10-03|4|metoprolol, lisinopril, tamsulosi |-19.77
2016-10-07|4|spriht|-224.10
2016-10-14|7|dropbox|-99.00
2016-10-19|0|ss|2482.20
2016-10-26|5|eliquis|-195.15
2016-11-01|0|Kate Dixon|-10000
2016-11-16|0|ss|2482.20
2016-12-21|0|ss|2482.20
2016-12-30|6|state farm joe|-248.86
2017-01-18|0|ss|2482.20
2017-01-24|7|Clean Coast|-100
2017-02-15|0|ss|2482.20
2017-03-15|0|ss|2482.20
2017-04-08|7|chatham sailing club|-150
2017-04-15|7|ad valorum|-55.00
2017-04-19|0|ss|2482.20
2017-05-17|0|ss|2482.20
2017-06-14|7|hostgator|358.20
2017-06-21|0|ss|2482.20
2017-07-01|7|aaa|-66.00
2017-07-19|0|ss|2482.20
2017-08-16|0|ss|2482.20
2017-09-20|0|ss|2482.20
2017-10-18|0|ss|2482.20
2017-11-15|0|ss|2482.20
2017-12-20|0|ss|2482.20
